company,website,priority,target_roles,evidence,source_url,status
CloudTech24,https://cloudtech24.com/,A,"Founder/MD; Commercial Director; Marketing Lead","Managed IT + cyber provider; initial research indicates established B2B delivery proof",https://cloudtech24.com/,ready_for_deep_research
TWC IT Solutions,https://twc-it-solutions.com/,A,"Managing Director; Commercial Lead; Marketing Lead","Managed IT + cybersecurity with SME positioning",https://twc-it-solutions.com/,ready_for_deep_research
Texaport,https://texaport.co.uk/,A,"Founder/MD; Commercial Director; Growth Lead","Managed IT/cyber for growing businesses",https://texaport.co.uk/,ready_for_deep_research
Netitude,https://www.netitude.co.uk/,A,"Managing Director; Commercial Director; Marketing Lead","Managed IT + cybersecurity with consultative funnel",https://www.netitude.co.uk/,ready_for_deep_research
ADL Consulting,https://www.adlconsulting.co.uk/,A,"Founder/Director; Commercial Manager","ISO 27001/GDPR consultancy",https://www.adlconsulting.co.uk/,ready_for_deep_research
Wavex Technology,https://www.wavex.co.uk/,A,"Commercial Director; Marketing Director; Sales Director","Managed IT + cyber + compliance",https://www.wavex.co.uk/,research
The HBP Group,https://thehbpgroup.co.uk/,A,"Commercial Director; Marketing Director; Head of Sales","Managed IT + ERP with growth positioning",https://thehbpgroup.co.uk/,research
Transputec,https://www.transputec.com/,A,"Commercial Director; Marketing Director; Sales Director","Managed IT, cyber, cloud and AI",https://www.transputec.com/,research
Foresite Cybersecurity,https://foresite.com/,B,"EMEA Commercial Lead; Marketing Director; Sales Director","US enterprise Google-SecOps provider; disqualified from UK cyber/MSP experiment after deep research",https://foresite.com/,disqualified_market_fit
Secure Chain,https://securechaingroup.com/,B,"Founder/MD; Commercial Lead","MSSP serving SMEs / regulated firms",https://securechaingroup.com/,research
Morcan IT Solutions,https://www.morcan.co.uk/,B,"Founder/MD; Commercial Lead","Security-first MSP",https://www.morcan.co.uk/,research
cyberISMS,https://www.cyberisms.uk/,B,"Parent-company director; Commercial Lead","UK MSP integrating managed IT, cybersecurity and compliance for regulated SMEs",https://www.cyberisms.uk/,qualified_batch_02
Fortitude Cyber,https://fortitudecyber.co.uk/,B,"Founder/Director","UK SME cyber and GRC consultancy with published project and retainer pricing",https://fortitudecyber.co.uk/cyber-grc/,qualified_batch_02
Aursec,https://www.aursec.co.uk/,B,"Founder/Director","UK SMB cybersecurity consultancy with CE/CE+ services and a free security health check",https://www.aursec.co.uk/,qualified_batch_02
Intergence,https://www.intergence.com/,B,"Managing Director; Commercial Director","UK IT consultancy and MSP with cybersecurity services and a free infrastructure cyber-breach assessment",https://www.intergence.com/managed-services,qualified_batch_02
RSK Cyber Security,https://rsk-bsl.com/,B,"Managing Director; Commercial Lead","Current public identity resolves to a UK-headquartered AI/software-development business rather than a clean cyber/MSP proposition",https://rsk-bsl.com/,disqualified_market_fit
Stingrai Inc.,https://www.stingrai.io/,B,"Founder/MD; Commercial Lead","Toronto-headquartered global penetration-testing provider with a London office; not a UK-headquartered wedge fit",https://www.stingrai.io/,disqualified_market_fit
Technical Drive,https://technicaldrive.co.uk/,B,"Managing Director; Commercial Director; Marketing Lead","Birmingham MSP offering managed IT, cyber security and a public cyber-confidence calculator",https://technicaldrive.co.uk/,qualified_batch_02
Opus Technology,https://www.opustech.co.uk/,B,"CEO; Commercial Director; Marketing Director","UK managed technology provider with managed IT, cyber services and quantified service proof",https://www.opustech.co.uk/,qualified_batch_02
Slink,https://slink.co.uk/,B,"Founder/MD; Commercial Lead","Birmingham Microsoft-focused MSP for fintech and scaling firms with a free IT Growth Readiness Assessment",https://slink.co.uk/capabilities-managed-it,qualified_batch_02
